Open,High,Low,Close
327.9,328.2,312.1,312.6
312.6,317.3,307.3,313.8
313.8,320.25,312.75,320.25
320.05,327.2,320.05,324.25
323.9,332.05,323.9,330.35
330.0,332.0,324.5,325.6
325.9,329.0,324.05,327.2
327.5,331.8,326.0,326.4
326.4,326.45,321.0,322.05
322.0,322.75,316.0,322.3
322.3,333.3,321.35,328.65
328.5,331.45,321.05,321.6
321.6,321.6,316.85,320.6
320.6,325.45,319.4,323.2
323.85,325.15,320.6,321.25
321.25,325.7,320.75,325.7
325.7,330.0,319.1,320.55
320.55,320.95,315.05,316.95
316.95,319.85,315.4,319.0
319.1,323.5,316.5,322.45
322.95,329.0,322.95,327.0
327.0,327.0,321.65,323.1
323.1,327.9,322.55,325.25
325.25,329.2,323.7,324.4
324.4,327.55,322.0,327.0
327.0,327.0,317.75,319.65
319.65,326.0,318.2,325.5
326.0,328.35,320.6,320.9
320.9,320.9,316.4,319.95
319.95,321.35,317.5,318.8
318.75,323.35,310.0,320.45
320.8,321.8,316.75,320.8
321.1,321.1,313.5,319.85
319.0,321.45,318.15,318.85
318.85,324.9,318.85,323.0
323.0,327.65,321.35,324.6
324.6,328.1,322.35,327.65
327.65,329.1,324.55,327.0
327.0,327.25,321.6,321.6
321.6,327.6,319.45,326.45
